solution,best_heuristic
0000111100,LH3
0011001010,LH3
0010110100,LH1
1000011100,LH3
0110100010,LH3
1000101001,LH3
1000011001,LH1
1100000011,LH1
1001000011,LH3
1000010011,LH1
1001100010,LH1
0011001010,LH3
0110000110,LH1
0010100110,LH3
1000010011,LH3
0001010011,LH1
0100100110,LH1
1000100011,LH2
0010111000,LH4
1100010001,LH1
1010100010,LH3
0100101100,LH3
0111100000,LH1
0110000110,LH1
1110100000,LH3
1100001100,LH1
0010011001,LH1
0000011110,LH1
0001100110,LH1
0010010101,LH3
0010011010,LH2
1100101000,LH1
0010001101,LH2
0000100111,LH3
1100100100,LH3
1101100000,LH1
0100010011,LH1
1000011001,LH3
0001010101,LH2
1101000001,LH3
1110000010,LH2
0110100100,LH1
0010001101,LH3
1000001110,LH4
0011110000,LH1
0010010101,LH3
0001001110,LH3
1001011000,LH3
1000000111,LH1
1000010110,LH2
0001111000,LH4
1101010000,LH1
1100100001,LH1
0100011010,LH1
1000010110,LH4
0001010110,LH3
0101010010,LH3
0100010110,LH1
0110000110,LH1
1110001000,LH1
1010000101,LH3
0100111000,LH4
0001001011,LH3
1110000100,LH1
1001010100,LH3
0100110001,LH3
0010101001,LH3
0100110001,LH3
0101010010,LH1
0110100010,LH3
0100110100,LH1
1100011000,LH3
0101100010,LH1
0010001011,LH3
0011001100,LH3
0010110010,LH3
0001101100,LH3
0011001010,LH3
1001110000,LH2
0110001001,LH1
0010100110,LH3
1011000010,LH1
0011000101,LH1
1000110100,LH1
0100001011,LH1
0101101000,LH2
1100000011,LH1
1000001011,LH1
0110001010,LH3
1100101000,LH3
0011010001,LH3
1001100001,LH1
0100101100,LH3
1000110001,LH3
1000100101,LH3
0010001011,LH2
1000001101,LH3
0011100010,LH3
0010001110,LH1
1011100000,LH3
